name,type,category,display_name,visibility,access_mode,description,min,max,inc,enum_values
ADCGainEnable_Reg,IntReg,,ADCGainEnable_Reg,,RW,,,,,
ADCGainEnable_RegAddr,Integer,,ADCGainEnable_RegAddr,,,,,,,
AcqBurstFrameCountMaxInq_Reg,IntReg,,AcqBurstFrameCountMaxInq_Reg,,RO,,,,,
AcqBurstFrameCountMaxInq_RegAddr,Integer,,AcqBurstFrameCountMaxInq_RegAddr,,,,,,,
AcqBurstFrameCountMinInq_Reg,IntReg,,AcqBurstFrameCountMinInq_Reg,,RO,,,,,
AcqBurstFrameCountMinInq_RegAddr,Integer,,AcqBurstFrameCountMinInq_RegAddr,,,,,,,
AcqFrameCountMaxInq_Reg,IntReg,,AcqFrameCountMaxInq_Reg,,RO,,,,,
AcqFrameCountMaxInq_RegAddr,Integer,,AcqFrameCountMaxInq_RegAddr,,,,,,,
AcqFrameCountMinInq_Reg,IntReg,,AcqFrameCountMinInq_Reg,,RO,,,,,
AcqFrameCountMinInq_RegAddr,Integer,,AcqFrameCountMinInq_RegAddr,,,,,,,
AcqFrameRateCtrlVal_Float,Converter,,AcqFrameRateCtrlVal_Float,,,,,,,
AcqFrameRateEnCtrlVal_Reg,MaskedIntReg,,AcqFrameRateEnCtrlVal_Reg,,RW,,,,,
AcqFrameRateImplemented_Int,IntSwissKnife,,AcqFrameRateImplemented_Int,,,,,,,
AcqFrameRateMaxInq_Float,SwissKnife,,AcqFrameRateMaxInq_Float,,,,,,,
AcqFrameRateMaxInq_Reg,IntReg,,AcqFrameRateMaxInq_Reg,,RO,,,,,
AcqFrameRateMaxInq_RegAddr,Integer,,AcqFrameRateMaxInq_RegAddr,,,,,,,
AcqFrameRateMinInq_Float,SwissKnife,,AcqFrameRateMinInq_Float,,,,,,,
AcqFrameRateMinInq_Reg,IntReg,,AcqFrameRateMinInq_Reg,,RO,,,,,
AcqFrameRateMinInq_RegAddr,Integer,,AcqFrameRateMinInq_RegAddr,,,,,,,
AcqFrameRateUnitInq_RegAddr,Integer,,AcqFrameRateUnitInq_RegAddr,,,,,,,
AcqLineRateEnCtrlVal_Reg,MaskedIntReg,,AcqLineRateEnCtrlVal_Reg,,RW,,,,,
AcqLineRateImplemented_Int,IntSwissKnife,,AcqLineRateImplemented_Int,,,,,,,
AcqLineRateMaxInq_Reg,IntReg,,AcqLineRateMaxInq_Reg,,RO,,,,,
AcqLineRateMaxInq_RegAddr,Integer,,AcqLineRateMaxInq_RegAddr,,,,,,,
AcqLineRateMinInq_Reg,IntReg,,AcqLineRateMinInq_Reg,,RO,,,,,
AcqLineRateMinInq_RegAddr,Integer,,AcqLineRateMinInq_RegAddr,,,,,,,
AcqStatusSelectorInq_RegAddr,Integer,,AcqStatusSelectorInq_RegAddr,,,,,,,
AcquisitionBurstFrameCountAvailableInq_Int,IntSwissKnife,,AcquisitionBurstFrameCountAvailableInq_Int,,,,,,,
AcquisitionBurstFrameCount_Reg,IntReg,,AcquisitionBurstFrameCount_Reg,,RW,,,,,
AcquisitionBurstFrameCount_RegAddr,Integer,,AcquisitionBurstFrameCount_RegAddr,,,,,,,
AcquisitionFrameCountAvailableInq_Int,IntSwissKnife,,AcquisitionFrameCountAvailableInq_Int,,,,,,,
AcquisitionFrameCount_Reg,IntReg,,AcquisitionFrameCount_Reg,,RW,,,,,
AcquisitionFrameCount_RegAddr,Integer,,AcquisitionFrameCount_RegAddr,,,,,,,
AcquisitionFrameRate_Int,Integer,,AcquisitionFrameRate_Int,,,,AcqFrameRateMinInq_Reg,AcqFrameRateMaxInq_Reg,,
AcquisitionFrameRate_Reg,MaskedIntReg,,AcquisitionFrameRate_Reg,,RW,,,,,
AcquisitionFrameRate_RegAddr,Integer,,AcquisitionFrameRate_RegAddr,,,,,,,
AcquisitionLineRate_Reg,MaskedIntReg,,AcquisitionLineRate_Reg,,RW,,,,,
AcquisitionLineRate_RegAddr,Integer,,AcquisitionLineRate_RegAddr,,,,,,,
AcquisitionMode_Reg,IntReg,,AcquisitionMode_Reg,,RW,,,,,
AcquisitionMode_RegAddr,Integer,,AcquisitionMode_RegAddr,,,,,,,
AcquisitionStart_Reg,MaskedIntReg,,AcquisitionStart_Reg,,RW,,,,,
AcquisitionStart_RegAddr,Integer,,AcquisitionStart_RegAddr,,,,,,,
AcquisitionStatus,Boolean,,Acquisition Status,Guru,RO,Status of the selected acquisition signal.,,,,
AcquisitionStatusSelector,Enumeration,,Acquisition Status Selector,Beginner,,Select the Signal wait mode of the device.,,,,
AcquisitionStatusSelector_Int,Integer,,AcquisitionStatusSelector_Int,,,,,,,
AcquisitionStatus_Reg,IntReg,,AcquisitionStatus_Reg,,RW,,,,,
AcquisitionStatus_RegAddr,Integer,,AcquisitionStatus_RegAddr,,,,,,,
AcquisitionStop_Reg,MaskedIntReg,,AcquisitionStop_Reg,,RW,,,,,
AcquisitionStop_RegAddr,Integer,,AcquisitionStop_RegAddr,,,,,,,
ActionDeviceKey_Reg,IntReg,,ActionDeviceKey_Reg,Invisible,RW,,,,,
ActionGroupKey_Reg,IntReg,,ActionGroupKey_Reg,Invisible,RW,,,,,
ActionGroupMask_Reg,IntReg,,ActionGroupMask_Reg,Invisible,RW,,,,,
ActionGroupOffsetAddr,IntSwissKnife,,ActionGroupOffsetAddr,,,,,,,
ActionQueueSize_Reg,IntReg,,ActionQueueSize_Reg,Invisible,RO,,,,,
ActionUnconditionalMode,Enumeration,,Action Unconditional Mode,Expert,RW,Enables the unconditional action command mode where action commands are processed even when the primary control channel is closed.,,,,
ActivateShading_Reg,IntReg,,ActivateShading_Reg,,RW,,,,,
ActivateShading_RegAddr,Integer,,ActivateShading_RegAddr,,,,,,,
AddressOffset,IntSwissKnife,,AddressOffset,,,,,,,
AirspaceNoiseReductionIncInq_Reg,IntReg,,AirspaceNoiseReductionIncInq_Reg,,RO,,,,,
AirspaceNoiseReductionIncInq_RegAddr,Integer,,AirspaceNoiseReductionIncInq_RegAddr,,,,,,,
